,seed,n_samples,n_features,n_clusters,k,std,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Naive Bayes_test,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Decision Tree_test,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Random Forest_test,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,Linear SVM_test,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,RBF SVM_test,MLP_train,MLP_valid,MLP_mean_error,MLP_test,Base Model_train,Base Model_valid,Base Model_mean_error,Base Model_test
0,0,5000,20,20,5,0.5,0.971,0.977,0.07345397214741553,0.99,1.0,0.998,0.22271552766325534,0.97,0.97175,0.977,0.07345397214741553,0.99,0.996,0.989,0.5120574224967956,0.94,0.971,0.977,0.07345397214741553,0.99,0.9765,0.977,0.0,1.0,,,,
1,1,5000,20,20,5,0.5,0.9665,0.954,0.3859827414004936,0.95,1.0,1.0,0.3861486466376119,0.95,0.96625,0.955,0.3859827414004936,0.95,0.997,0.986,0.3039024949116039,0.96,0.9655,0.954,0.3859827414004936,0.95,0.99375,0.983,0.5450141502857765,0.93,,,,
2,2,5000,20,20,5,0.5,0.96625,0.974,0.31170414455217366,0.96,1.0,0.999,0.5451850325098992,0.93,0.971,0.976,0.47916042259442393,0.94,0.99775,0.99,0.4554945089743954,0.94,0.96625,0.974,0.31170414455217366,0.96,0.99475,0.988,0.3880505568366858,0.95,,,,
3,3,5000,20,20,5,0.5,0.936,0.934,0.4285400111615072,0.95,1.0,1.0,0.5329023407023279,0.94,0.97225,0.968,0.5264864149736791,0.94,0.99275,0.986,0.5329023407023279,0.94,0.92725,0.918,0.40913119600247666,0.95,0.9775,0.979,0.6302677137303767,0.93,,,,
4,0,5000,20,20,5,0.5,0.971,0.977,0.07345397214741553,0.99,1.0,0.998,0.22271552766325534,0.97,0.97175,0.977,0.07345397214741553,0.99,0.996,0.989,0.5120574224967956,0.94,0.971,0.977,0.07345397214741553,0.99,0.9865,0.983,0.21981263132551948,0.97,0.971,0.977,0.07345397214741553,0.99
5,1,5000,20,20,5,0.5,0.9665,0.954,0.3859827414004936,0.95,1.0,1.0,0.3861486466376119,0.95,0.96625,0.955,0.3859827414004936,0.95,0.997,0.986,0.3039024949116039,0.96,0.9655,0.954,0.3859827414004936,0.95,0.99375,0.983,0.5450141502857765,0.93,0.8925,0.894,3.69570086353818,0.9
6,2,5000,20,20,5,0.5,0.96625,0.974,0.31170414455217366,0.96,1.0,0.999,0.5451850325098992,0.93,0.971,0.976,0.47916042259442393,0.94,0.99775,0.99,0.4554945089743954,0.94,0.96625,0.974,0.31170414455217366,0.96,0.99475,0.988,0.3880505568366858,0.95,0.9405,0.957,0.4075871285944985,0.95
7,3,5000,20,20,5,0.5,0.936,0.934,0.4285400111615072,0.95,1.0,1.0,0.5329023407023279,0.94,0.97225,0.968,0.5264864149736791,0.94,0.99275,0.986,0.5329023407023279,0.94,0.92725,0.918,0.40913119600247666,0.95,0.98775,0.979,0.5207302269884656,0.94,0.92925,0.929,0.4285400111615072,0.95
8,4,5000,20,20,5,0.5,0.992,0.993,0.0,1.0,1.0,0.999,0.09125654463815464,0.99,0.994,0.996,0.0,1.0,0.998,0.994,0.0,1.0,0.992,0.994,0.0,1.0,0.996,0.995,0.0,1.0,0.9775,0.98,2.7241075247199986,0.97
9,0,10000,20,20,10,0.5,0.83625,0.842,1.3612174066603995,0.83,1.0,0.9995,1.0555524680469826,0.87,0.88325,0.8895,1.1705191320819253,0.85,0.989875,0.9765,0.9863647079034118,0.88,0.84875,0.8605,1.2388593137430934,0.84,0.960625,0.955,1.0631381235827595,0.87,0.81975,0.8225,1.571304247706434,0.81
10,1,10000,20,20,10,0.5,0.87375,0.8675,0.7695018895395429,0.9,1.0,0.9995,0.5851895133254871,0.93,0.890625,0.8855,0.8504825713177047,0.89,0.99175,0.984,0.6674565421328001,0.92,0.867125,0.8625,0.9399980784732814,0.88,0.981875,0.9725,0.6663841130818746,0.92,0.849625,0.8375,1.0627245610443754,0.87
11,2,10000,20,20,10,0.5,0.8615,0.8715,0.8566914521884008,0.9,1.0,1.0,1.1047293037300292,0.87,0.93025,0.9175,1.8846731102036804,0.88,0.99175,0.9825,0.9836621946388802,0.88,0.865125,0.861,1.0502262830694027,0.87,0.98225,0.964,1.1047293037300292,0.87,0.859125,0.869,0.9329254190620526,0.89
12,3,10000,20,20,10,0.5,0.837375,0.826,1.302224513108061,0.83,1.0,1.0,1.0889603763713287,0.86,0.890875,0.883,0.9533295820708614,0.88,0.989,0.9865,1.1730754751026031,0.85,0.8285,0.824,0.961749810451999,0.88,0.982,0.9745,1.0129906848599615,0.87,0.83525,0.826,1.0914215312175506,0.86
13,4,10000,20,20,10,0.5,0.854875,0.856,0.9579288845679023,0.88,1.0,0.9985,0.5751463913428664,0.93,0.88825,0.8905,0.9652519862845268,0.88,0.988875,0.9795,0.7659904288593284,0.91,0.855,0.8555,0.9579288845679023,0.88,0.974625,0.9565,0.576165905323695,0.93,0.835375,0.844,1.0420644140648485,0.87
14,0,30000,20,20,30,0.5,0.793,0.7826666666666666,1.5902591090774418,0.79,1.0,0.9995,1.5337456341495375,0.8,0.8154583333333333,0.8033333333333333,1.2317791721618727,0.84,0.9883333333333333,0.9801666666666666,1.5337456341495375,0.8,0.851125,0.8393333333333334,1.3569991482411592,0.82,0.965375,0.949,1.591268910399301,0.8,0.7894166666666667,0.7781666666666667,1.3784362401781811,0.82
15,1,30000,20,20,30,0.5,0.8105833333333333,0.8098333333333333,1.457080133460914,0.81,1.0,0.9995,1.5206583400794744,0.81,0.874,0.875,1.411624289064414,0.82,0.9873333333333333,0.9786666666666667,1.3853008548475316,0.82,0.835375,0.8385,1.36173308948192,0.82,0.9577083333333334,0.9466666666666667,1.3439906130394517,0.83,0.7967083333333334,0.7985,1.6289678093764377,0.79
16,2,30000,20,20,30,0.5,0.7860833333333334,0.7693333333333333,1.5380355919376105,0.81,1.0,0.9995,1.8068305498759418,0.77,0.8310416666666667,0.822,1.7535654127978535,0.78,0.9894583333333333,0.977,1.6480168206178198,0.79,0.8026666666666666,0.7835,1.5380355919376105,0.81,0.9712083333333333,0.9476666666666667,1.6497551568271087,0.79,0.732125,0.7231666666666666,2.2143524150342198,0.73
17,3,30000,20,20,30,0.5,0.74825,0.7545,2.0975529243328137,0.74,1.0,0.9995,1.401800838183275,0.83,0.827,0.8303333333333334,1.9718968857548145,0.76,0.9882916666666667,0.9808333333333333,1.481655158084233,0.82,0.8164583333333333,0.8181666666666667,1.860079120887241,0.77,0.955125,0.9395,1.3802094784526946,0.83,0.743125,0.7503333333333333,1.9997899154538827,0.75
18,4,30000,20,20,30,0.5,0.806,0.8035,1.233588538565715,0.85,1.0,0.9993333333333333,1.0561537373001904,0.87,0.871875,0.8678333333333333,0.8245135859060017,0.9,0.9884166666666667,0.9823333333333333,1.0944606222930378,0.87,0.8410416666666667,0.8385,0.8689473247776518,0.89,0.9568333333333333,0.9515,1.332368312325,0.84,0.7912916666666666,0.7898333333333334,1.2617136519970173,0.85
19,0,50000,20,20,50,0.5,0.578525,0.5823,2.490085824791024,0.69,1.0,0.9986,2.906313509172037,0.62,0.684125,0.6846,2.3735767102132557,0.7,0.980375,0.9684,3.0350454546946826,0.6,0.720175,0.7191,2.150895047447785,0.72,0.9056,0.8813,3.071649760082526,0.61,0.56835,0.5735,2.4651429446990867,0.69
20,1,50000,20,20,50,0.5,0.596675,0.6002,2.593249517020332,0.65,1.0,0.999,2.3702070283414916,0.66,0.680325,0.6852,2.304257292779355,0.69,0.983525,0.9745,2.5243341185683574,0.64,0.738775,0.7361,2.169284010909601,0.7,0.916875,0.8956,2.3762969472880653,0.66,0.597975,0.603,2.6128470742231515,0.65
21,2,50000,20,20,50,0.5,0.597325,0.6056,2.7998072910870975,0.61,1.0,0.999,1.8971993827202853,0.74,0.6621,0.6637,2.5907928022196485,0.64,0.982775,0.9725,1.8971993827202853,0.74,0.728225,0.732,1.998105483658035,0.72,0.9219,0.8987,2.0963945198204827,0.72,0.59765,0.6067,2.873028258354722,0.6
22,3,50000,20,20,50,0.5,0.59265,0.5943,3.107539601848663,0.59,1.0,0.9995,2.4345758496218908,0.69,0.69615,0.6899,2.7698013415580967,0.64,0.981625,0.9699,2.361668450767183,0.69,0.726,0.726,2.4870593476611322,0.68,0.94515,0.9097,2.304301909649152,0.7,0.591975,0.5936,3.107539601848663,0.59
23,4,50000,20,20,50,0.5,0.60995,0.6123,2.90589472746399,0.61,1.0,0.9997,2.548170884849806,0.68,0.675275,0.6783,2.6440051773523288,0.65,0.98475,0.9777,2.4455912502230213,0.69,0.758075,0.7586,2.9019162638557585,0.62,0.89485,0.8815,2.3345268044715217,0.7,0.6059,0.6043,3.048667541613375,0.59
