,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Base Model_test,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Naive Bayes_test,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Decision Tree_test,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Random Forest_test,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,Linear SVM_test,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,RBF SVM_test,MLP_train,MLP_valid,MLP_mean_error,MLP_test
0,0,5000,20,1,5,1.0,0.84525,0.849,6.877123079554479,0.52,0.93225,0.932,6.322444341493407,0.56,1.0,1.0,6.752237363476542,0.52,0.94125,0.868,7.362928949223026,0.48,0.98125,0.969,6.472640856263948,0.54,0.89175,0.89,7.026529491041823,0.51,0.9015,0.887,6.50048594397522,0.56
1,1,5000,20,1,5,1.0,0.84525,0.865,6.638686950786758,0.54,0.9375,0.934,6.9288169340910875,0.53,1.0,0.999,6.570212750889246,0.55,0.99575,0.981,6.570212750889246,0.55,0.9755,0.963,6.410903659636185,0.56,0.8995,0.9,6.922324067284597,0.53,0.9265,0.894,6.06856305976653,0.58
2,2,5000,20,1,5,1.0,0.845,0.851,6.64502999385765,0.55,0.93225,0.922,6.24736785274756,0.58,1.0,1.0,6.31649289350948,0.57,0.99125,0.984,6.295755367553173,0.57,0.97325,0.972,6.074179380362309,0.58,0.89775,0.905,6.908151425705618,0.54,0.96075,0.888,6.489443755670656,0.54
3,3,5000,20,1,5,1.0,0.8555,0.849,6.915703199651842,0.51,0.94175,0.919,7.025340595027979,0.49,1.0,1.0,6.983573255659738,0.5,0.9915,0.981,7.028621139312987,0.5,0.97775,0.972,7.247108360073712,0.48,0.903,0.885,6.574809088596271,0.52,0.93325,0.924,7.103070919968795,0.49
4,4,5000,20,1,5,1.0,0.8465,0.865,5.146052364037551,0.64,0.9325,0.931,5.210367252028455,0.64,1.0,0.999,5.084953905287621,0.65,0.87475,0.802,5.853858015207541,0.6,0.98025,0.973,5.3403308296581535,0.63,0.88525,0.885,5.007535079530905,0.65,0.9235,0.897,5.188467788032395,0.65
5,0,10000,20,1,10,1.0,0.7565,0.7525,8.87277923440114,0.38,0.901,0.8985,8.303123454498825,0.42,1.0,0.9995,9.056195867553209,0.37,0.96325,0.9365,9.515905682114646,0.34,0.96775,0.9525,9.058784157272578,0.37,0.835,0.819,8.724016260007545,0.39,0.925125,0.901,8.937854932790062,0.38
6,1,10000,20,1,10,1.0,0.72975,0.74,7.717681692224362,0.46,0.887125,0.8695,8.087071831673137,0.44,1.0,1.0,8.048442824803523,0.44,0.8675,0.834,8.027571056260815,0.45,0.959,0.951,7.796691526838877,0.45,0.8225,0.81,8.030008638951795,0.43,0.951125,0.8845,8.367119158000335,0.42
7,2,10000,20,1,10,1.0,0.7185,0.7235,8.461174217538042,0.4,0.890625,0.8885,7.468078109118607,0.47,1.0,1.0,7.505024362780745,0.46,0.94475,0.9255,8.070711149990572,0.42,0.961125,0.9485,7.674096552973918,0.45,0.818,0.813,8.37389223621296,0.41,0.934875,0.899,7.449216627154975,0.47
8,3,10000,20,1,10,1.0,0.734625,0.7255,8.534926836562452,0.41,0.889,0.877,8.448511234071175,0.4,1.0,0.999,8.954092301967211,0.38,0.901,0.8625,9.387547879915369,0.35,0.96275,0.9365,9.196615658739743,0.36,0.818,0.7995,8.921369667533448,0.37,0.95625,0.897,8.65527989283072,0.39
9,4,10000,20,1,10,1.0,0.731625,0.735,7.832354883431317,0.45,0.890375,0.874,7.670305148111131,0.46,1.0,0.9995,8.079240392640719,0.43,0.92625,0.899,7.91279367902289,0.44,0.960375,0.9455,7.679449415033681,0.46,0.793625,0.778,7.864882695876989,0.45,0.880625,0.847,7.71080844510206,0.46
10,0,30000,20,1,30,1.0,0.6145833333333334,0.6283333333333333,8.433873527156145,0.37,0.8328333333333333,0.8326666666666667,8.074553107319202,0.39,1.0,0.9993333333333333,8.215797397845053,0.37,0.7899583333333333,0.7743333333333333,8.971557648753913,0.32,0.9460833333333334,0.933,8.212350653048956,0.37,0.7392083333333334,0.7315,7.770527477514559,0.41,0.88825,0.8685,7.919433018594392,0.4
11,1,30000,20,1,30,1.0,0.6285,0.6328333333333334,9.086747321996585,0.33,0.8431666666666666,0.8265,8.69249571964364,0.36,1.0,0.9996666666666667,9.514380494124016,0.31,0.69325,0.6793333333333333,10.275707013720659,0.25,0.9473333333333334,0.9358333333333333,9.412417547360853,0.32,0.7611666666666667,0.7591666666666667,8.829502175197495,0.35,0.90375,0.8791666666666667,9.253121717137171,0.32
12,2,30000,20,1,30,1.0,0.6365416666666667,0.6358333333333334,9.752334390298799,0.3,0.8420416666666667,0.8321666666666667,9.58969328207551,0.3,1.0,0.9995,9.526750727085057,0.31,0.6904583333333333,0.6651666666666667,10.541665349685129,0.23,0.94925,0.935,9.640986787994683,0.3,0.7660833333333333,0.7621666666666667,9.425978854961109,0.32,0.915125,0.8925,9.246711016945618,0.33
13,3,30000,20,1,30,1.0,0.6266666666666667,0.6238333333333334,7.986807690326719,0.43,0.83675,0.8291666666666667,7.673684881782134,0.44,1.0,0.9993333333333333,7.816083829607366,0.43,0.6448333333333334,0.613,9.948341171925998,0.28,0.9481666666666667,0.9313333333333333,8.164811236317597,0.41,0.7492083333333334,0.7375,7.6080978247806925,0.45,0.9245416666666667,0.8936666666666667,8.174731578078719,0.41
14,4,30000,20,1,30,1.0,0.6375,0.6323333333333333,9.473382821026878,0.31,0.845375,0.8246666666666667,9.343704756212356,0.32,1.0,0.9991666666666666,9.0043880807782,0.34,0.63175,0.6075,9.980750113184689,0.28,0.9519166666666666,0.93,8.894602189925031,0.35,0.738875,0.7216666666666667,9.045147454087505,0.34,0.857375,0.8373333333333334,8.832871526033351,0.36
15,0,50000,20,1,50,1.0,0.54335,0.5358,10.594741289459062,0.22,0.791775,0.7792,9.677646473139284,0.28,1.0,0.9987,10.323061714921096,0.24,0.70355,0.6816,10.601423831160186,0.21,0.9268,0.8995,9.955203111477893,0.27,0.67,0.6493,10.342327720424406,0.23,0.88755,0.8609,10.102493839297676,0.25
16,1,50000,20,1,50,1.0,0.536425,0.5346,10.038682352743894,0.23,0.792,0.779,9.503433638611043,0.28,1.0,0.9993,9.205420314470166,0.3,0.645775,0.6234,10.582391539068372,0.22,0.92765,0.9045,9.30142123685702,0.29,0.68035,0.6677,9.802104995566635,0.25,0.854725,0.8272,9.233879380788556,0.3
17,2,50000,20,1,50,1.0,0.54155,0.5441,10.168005962923772,0.23,0.791025,0.7806,9.974551922656223,0.25,1.0,0.9996,9.776573428909579,0.26,0.723625,0.6947,11.59931555347335,0.14,0.926325,0.8987,9.827266683769373,0.26,0.681225,0.6684,9.836699454976344,0.25,0.887275,0.864,9.901552185407763,0.25
18,3,50000,20,1,50,1.0,0.538125,0.5429,8.83635064866208,0.34,0.7901,0.7795,9.277440690802807,0.31,1.0,0.9997,9.279975519525081,0.31,0.6338,0.6135,10.605832406153551,0.23,0.926875,0.9073,9.52022688890601,0.29,0.6692,0.6592,9.116417480884406,0.33,0.9087,0.8777,9.169892943608872,0.31
