,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,MLP_train,MLP_valid,MLP_mean_error
0,0,5000,20,1,5,1.0,0.84525,0.849,0.04832906525463291,0.93225,0.932,0.04567655192531499,1.0,1.0,0.0487108461826865,0.94125,0.868,0.058047408161823945,0.98125,0.969,0.047094255581255184,0.89175,0.89,0.05365000024768916,0.9015,0.887,0.043786586424030834
1,1,5000,20,1,5,1.0,0.84525,0.865,0.036546046941907724,0.9375,0.934,0.03768410249079981,1.0,0.999,0.03578564130088277,0.99575,0.981,0.03578564130088277,0.9755,0.963,0.033843444577839235,0.8995,0.9,0.036642665615771224,0.9265,0.894,0.034496007386353784
2,2,5000,20,1,5,1.0,0.845,0.851,0.044748351340993156,0.93225,0.922,0.043902050418524186,1.0,1.0,0.04258146159813734,0.99125,0.984,0.0437385538584678,0.97325,0.972,0.04200583496783057,0.89775,0.905,0.047860837940176836,0.96075,0.888,0.046548230231670755
3,3,5000,20,1,5,1.0,0.8555,0.849,0.04116141397768782,0.94175,0.919,0.0400911971549569,1.0,1.0,0.041327489293577636,0.9915,0.981,0.040834565660910954,0.97775,0.972,0.04405878649793402,0.903,0.885,0.038378307978462665,0.93325,0.924,0.04203790135508241
4,4,5000,20,1,5,1.0,0.8465,0.865,0.03016340061284177,0.9325,0.931,0.030685457900797616,1.0,0.999,0.029946324606791443,0.87475,0.802,0.04150436522331219,0.98025,0.973,0.030431639521086472,0.88525,0.885,0.030822274584935933,0.9235,0.897,0.03183415471889811
0,0,10000,20,1,10,1.0,0.7565,0.7525,0.06951675856648429,0.901,0.8985,0.06809788976987145,1.0,0.9995,0.07050936171229426,0.96325,0.9365,0.07934695557128857,0.96775,0.9525,0.07655304638537326,0.835,0.819,0.07366832668690783,0.925125,0.901,0.07344254663416604
1,1,10000,20,1,10,1.0,0.72975,0.74,0.04446095187708614,0.887125,0.8695,0.04401793343882429,1.0,1.0,0.04620235124273356,0.8675,0.834,0.04582569267372147,0.959,0.951,0.047612996561469965,0.8225,0.81,0.04871145070215939,0.951125,0.8845,0.04354987357282738
2,2,10000,20,1,10,1.0,0.7185,0.7235,0.0686576348016716,0.890625,0.8885,0.05571862637768067,1.0,1.0,0.06029456305794823,0.94475,0.9255,0.06634149197465972,0.961125,0.9485,0.060116194983651665,0.818,0.813,0.06193360103877991,0.934875,0.899,0.05925525969544718
3,3,10000,20,1,10,1.0,0.734625,0.7255,0.05070845392606283,0.889,0.877,0.05196183883809094,1.0,0.999,0.05381533102747748,0.901,0.8625,0.06401151724159361,0.96275,0.9365,0.056794747687885616,0.818,0.7995,0.05388847651913383,0.95625,0.897,0.0531481507915917
4,4,10000,20,1,10,1.0,0.731625,0.735,0.05117156684866508,0.890375,0.874,0.054166982343611,1.0,0.9995,0.05564756828981434,0.92625,0.899,0.0563829257307012,0.960375,0.9455,0.04990147535008755,0.793625,0.778,0.05406906985330269,0.880625,0.847,0.05431160232311241
0,0,30000,20,1,30,1.0,0.6145833333333334,0.6283333333333333,0.06682257901332758,0.8328333333333333,0.8326666666666667,0.060546757644361765,1.0,0.9993333333333333,0.06469227858884335,0.7899583333333333,0.7743333333333333,0.0756305466929495,0.9460833333333334,0.933,0.06351561871260897,0.7392083333333334,0.7315,0.05809659106039785,0.88825,0.8685,0.06009921461643165
1,1,30000,20,1,30,1.0,0.6285,0.6328333333333334,0.0757974556264293,0.8431666666666666,0.8265,0.06798204904861459,1.0,0.9996666666666667,0.07672610060402356,0.69325,0.6793333333333333,0.10517829446359711,0.9473333333333334,0.9358333333333333,0.07394521810975314,0.7611666666666667,0.7591666666666667,0.06792472675164324,0.90375,0.8791666666666667,0.07493388174317708
2,2,30000,20,1,30,1.0,0.6365416666666667,0.6358333333333334,0.07787939393402253,0.8420416666666667,0.8321666666666667,0.07802842988391513,1.0,0.9995,0.0815027488384457,0.6904583333333333,0.6651666666666667,0.10188710708361874,0.94925,0.935,0.08272992989918145,0.7660833333333333,0.7621666666666667,0.07650205458361639,0.915125,0.8925,0.07869933898673703
3,3,30000,20,1,30,1.0,0.6266666666666667,0.6238333333333334,0.05451058326028397,0.83675,0.8291666666666667,0.05558888283306533,1.0,0.9993333333333333,0.05341347094241504,0.6448333333333334,0.613,0.09377578273582265,0.9481666666666667,0.9313333333333333,0.05699706982902732,0.7492083333333334,0.7375,0.047603002121212885,0.9245416666666667,0.8936666666666667,0.055016141895585624
4,4,30000,20,1,30,1.0,0.6375,0.6323333333333333,0.08257902963663101,0.845375,0.8246666666666667,0.07067243234815292,1.0,0.9991666666666666,0.06843170357076706,0.63175,0.6075,0.1014238486206933,0.9519166666666666,0.93,0.06851065340897608,0.738875,0.7216666666666667,0.07593445180619379,0.857375,0.8373333333333334,0.06473801057960778
0,0,50000,20,1,50,1.0,0.54335,0.5358,0.10606448590121775,0.791775,0.7792,0.08516188883094308,1.0,0.9987,0.09648320494111648,0.70355,0.6816,0.12040539618365706,0.9268,0.8995,0.08825997565728418,0.67,0.6493,0.09452813861350445,0.88755,0.8609,0.09244665103355434
1,1,50000,20,1,50,1.0,0.536425,0.5346,0.09304610090480338,0.792,0.779,0.08774677659431454,1.0,0.9993,0.08655059498515677,0.645775,0.6234,0.13063320906609477,0.92765,0.9045,0.08279934373605552,0.68035,0.6677,0.08725353691912822,0.854725,0.8272,0.08552048723070808
2,2,50000,20,1,50,1.0,0.54155,0.5441,0.0896968364095984,0.791025,0.7806,0.09184866624831903,1.0,0.9996,0.09416842939345717,0.723625,0.6947,0.1290209441517994,0.926325,0.8987,0.09211337446751705,0.681225,0.6684,0.08470132950548472,0.887275,0.864,0.09225330190996622
3,3,50000,20,1,50,1.0,0.538125,0.5429,0.08155468093695385,0.7901,0.7795,0.08201766564555461,1.0,0.9997,0.08665229596504544,0.6338,0.6135,0.10794835089986328,0.926875,0.9073,0.08729112157513982,0.6692,0.6592,0.07530872475620201,0.9087,0.8777,0.08661528567516086
4,4,50000,20,1,50,1.0,0.552375,0.5456,0.07160864712398879,0.792425,0.7814,0.06134241862936347,1.0,0.9992,0.0732730296957918,0.708025,0.6945,0.10886612395550092,0.930225,0.9054,0.06953533948859075,0.654,0.6353,0.06567007225931215,0.8624,0.8436,0.06969890040766684
0,0,100000,20,1,100,1.0,0.4739625,0.4779,0.10293935912519968,0.7462,0.7371,0.10526982670545769,1.0,0.9994,0.10576777721816073,0.5114625,0.49575,0.16210415715101184,0.9100875,0.88125,0.10217079522954925,0.606975,0.5976,0.08705846836284623,0.911875,0.88975,0.10618136503802462
1,1,100000,20,1,100,1.0,0.46235,0.45655,0.08976181384293465,0.7384875,0.7271,0.0891366412179836,1.0,0.99955,0.0989588257492378,0.5658625,0.5388,0.13783798360697705,0.9067125,0.8774,0.09113210604489842,0.6117,0.58945,0.08348524936257232,0.896875,0.8735,0.08937299384469367
2,2,100000,20,1,100,1.0,0.46655,0.46785,0.09194675039715434,0.7436875,0.73085,0.0969950216321386,1.0,0.99905,0.11092706230187983,0.5876,0.564,0.15251689560387896,0.9081375,0.8774,0.10492125099542544,0.61845,0.60295,0.0910081737901687,0.881625,0.8606,0.10744784000566417
3,3,100000,20,1,100,1.0,0.4749375,0.4758,0.09664834195257932,0.743175,0.73165,0.08971598826516242,1.0,0.99915,0.1024880939665492,0.60495,0.5824,0.1465688161381298,0.910725,0.8838,0.09622206127110587,0.6097375,0.6007,0.08656517663895752,0.8031375,0.78745,0.10320964601073371
4,4,100000,20,1,100,1.0,0.4642375,0.4605,0.10268732441666793,0.7401125,0.7276,0.08979100294258285,1.0,0.9995,0.09697658813112313,0.571325,0.5539,0.15073510600960505,0.9059625,0.8768,0.09556113039794564,0.573475,0.55655,0.0990510903218407,0.816425,0.8009,0.09094324031615919
