,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,MLP_train,MLP_valid,MLP_mean_error
0,0,5000,20,1,5,1.0,1.0,1.0,0.03697396126676801,0.9515,0.944,0.037595040071325594,1.0,0.499,0.07141198360912801,0.66475,0.563,0.06879470205262932,0.9905,0.977,0.036250520428562756,0.97525,0.965,0.03194017977077434,0.94475,0.873,0.04003938094051411
1,1,5000,20,1,5,1.0,1.0,1.0,0.03158846260079945,0.944,0.94,0.03983680647793482,1.0,0.501,0.09804685662384623,0.66475,0.565,0.07215500033768132,0.99325,0.971,0.03700634730164483,0.9735,0.969,0.03281194662107663,0.97,0.899,0.04887849411043487
2,2,5000,20,1,5,1.0,1.0,1.0,0.03948572865339205,0.956,0.935,0.040514299270299814,1.0,0.523,0.0855482163230927,0.65125,0.58,0.05818654749996579,0.9915,0.975,0.04207668270273378,0.97525,0.958,0.035913380564168394,0.97075,0.918,0.04162527230411822
3,3,5000,20,1,5,1.0,1.0,1.0,0.03508297178512783,0.9575,0.941,0.03047058495831777,1.0,0.499,0.09770337482096587,0.693,0.613,0.07359502651581795,0.9875,0.972,0.03815368997154734,0.96675,0.949,0.03182704495619463,0.966,0.896,0.043325531907879834
4,4,5000,20,1,5,1.0,1.0,1.0,0.05131079631940185,0.95925,0.938,0.054508346796410215,1.0,0.475,0.091995250821039,0.6615,0.579,0.09046715747980086,0.99175,0.981,0.04875538833965851,0.97475,0.959,0.052208677021899935,0.84025,0.837,0.05325730750547695
0,0,10000,20,1,10,1.0,1.0,1.0,0.060554032683042304,0.945875,0.9355,0.06794644840493083,1.0,0.3475,0.1407096913242899,0.557125,0.501,0.0939543313711943,0.983875,0.962,0.06293046096154253,0.96525,0.946,0.06612298853323337,0.984375,0.935,0.062262195202036984
1,1,10000,20,1,10,1.0,1.0,1.0,0.04018991646922936,0.945,0.9335,0.04214184978032723,1.0,0.3865,0.10565858720211695,0.551125,0.469,0.08030289583243697,0.9835,0.96,0.04078717073845814,0.969875,0.9545,0.03984518293401478,0.951,0.911,0.03993719511958342
2,2,10000,20,1,10,1.0,1.0,1.0,0.055331154092963096,0.946625,0.9385,0.051521741892286206,1.0,0.3885,0.1061918000807899,0.55325,0.457,0.0885396861940372,0.984625,0.9585,0.05315257071188492,0.969125,0.9585,0.05543467444683853,0.973,0.917,0.051874434260333155
3,3,10000,20,1,10,1.0,1.0,1.0,0.04992510002459209,0.94675,0.936,0.04860029317577658,1.0,0.374,0.10803061492562444,0.551875,0.491,0.09098478061126446,0.984375,0.957,0.04629350174560733,0.96125,0.952,0.044455561952399185,0.89375,0.8825,0.04800352430819135
4,4,10000,20,1,10,1.0,1.0,1.0,0.040093523086092465,0.945125,0.931,0.03838132009240511,1.0,0.365,0.10906267240338532,0.55875,0.484,0.0867019315770283,0.98325,0.958,0.041189483562530785,0.96875,0.954,0.040536781360411674,0.865125,0.855,0.051243190161535994
0,0,30000,20,1,30,1.0,1.0,1.0,0.07334053116207348,0.9383333333333334,0.9255,0.06576279287673231,1.0,0.249,0.17578125516107743,0.3865416666666667,0.3408333333333333,0.12772142267338038,0.9765416666666666,0.914,0.06481357922502315,0.9563333333333334,0.942,0.07082379190107002,0.96525,0.9231666666666667,0.06989299553183402
1,1,30000,20,1,30,1.0,1.0,1.0,0.06018535612851572,0.9343333333333333,0.9275,0.06082822467983112,1.0,0.25116666666666665,0.17493412231495828,0.38416666666666666,0.3531666666666667,0.10748026537944007,0.97575,0.9115,0.06277907694652692,0.9552916666666667,0.9393333333333334,0.05951612945563053,0.9365416666666667,0.9126666666666666,0.06120342686905355
2,2,30000,20,1,30,1.0,1.0,1.0,0.061965393482753296,0.9409583333333333,0.9205,0.06286826539187017,1.0,0.24016666666666667,0.17285804005946673,0.40529166666666666,0.3505,0.13392373408576352,0.9770833333333333,0.9048333333333334,0.06351133893566292,0.9575416666666666,0.9323333333333333,0.056061926955016224,0.93025,0.8895,0.06248097087171745
3,3,30000,20,1,30,1.0,1.0,1.0,0.06844990581502636,0.938625,0.925,0.06817213878683157,1.0,0.24766666666666667,0.19234450338107176,0.386375,0.3418333333333333,0.1278138503785588,0.9755416666666666,0.9078333333333334,0.06706757317952004,0.9587083333333334,0.9393333333333334,0.0668175869065926,0.953375,0.92,0.06921026352156985
4,4,30000,20,1,30,1.0,1.0,1.0,0.07732966934873878,0.938375,0.9196666666666666,0.07630821959808871,1.0,0.24516666666666667,0.20338000717922355,0.3903333333333333,0.3426666666666667,0.12313347171315182,0.9769166666666667,0.9126666666666666,0.07750269468771619,0.9568333333333333,0.9435,0.07585951469590531,0.925375,0.9011666666666667,0.07717344357034513
0,0,50000,20,1,50,1.0,1.0,1.0,0.0918422255707808,0.938,0.921,0.0895403527227648,1.0,0.1981,0.2189384831868994,0.34615,0.3101,0.16828925600224923,0.976875,0.8857,0.08695243039121422,0.952225,0.93,0.07830830585384274,0.93905,0.9125,0.09895870402918293
1,1,50000,20,1,50,1.0,1.0,1.0,0.07737274265517004,0.938975,0.9245,0.0760345742344336,1.0,0.2017,0.21187373809542356,0.341875,0.3058,0.1316913027852314,0.976925,0.8896,0.07846106490850112,0.954975,0.9347,0.07865858245912583,0.951675,0.9332,0.07498695550013161
2,2,50000,20,1,50,1.0,1.0,1.0,0.06719080222536336,0.9406,0.9256,0.06434440544292791,1.0,0.2015,0.19975467792810334,0.354775,0.3183,0.12414918487819088,0.976025,0.8904,0.07254936645244899,0.95235,0.9304,0.06691885354572145,0.93765,0.9172,0.07116897750992698
3,3,50000,20,1,50,1.0,1.0,1.0,0.08458629557374805,0.940225,0.9257,0.08138946355568305,1.0,0.1949,0.19807463914796927,0.33455,0.3001,0.15720040317259315,0.9744,0.8886,0.08668577007638971,0.95025,0.9345,0.08431161325457324,0.9382,0.9186,0.08705062414094111
4,4,50000,20,1,50,1.0,1.0,1.0,0.053734251748925654,0.93745,0.9276,0.05609451975027639,1.0,0.2032,0.20838316070663743,0.329375,0.3044,0.1545768265390775,0.976575,0.8919,0.05574315690756601,0.9565,0.9397,0.05357499686300762,0.784475,0.7574,0.059046868677674925
0,0,100000,20,1,100,1.0,1.0,1.0,0.09572886296779792,0.940625,0.9264,0.09527666374771375,1.0,0.1609,0.24586530701370735,0.2769625,0.25345,0.1604342765648933,0.9755,0.8631,0.09488965206888811,0.9479375,0.9285,0.09740580128419637,0.9241375,0.91075,0.1002080989498571
1,1,100000,20,1,100,1.0,1.0,1.0,0.07463333632530893,0.93945,0.9243,0.08081226783903339,1.0,0.1574,0.22458710239390536,0.2706875,0.2497,0.1422271439659961,0.9759375,0.85855,0.08261886392317151,0.946825,0.9241,0.07711218938288672,0.93115,0.91995,0.07620968587334097
2,2,100000,20,1,100,1.0,1.0,1.0,0.07097447510679657,0.9418875,0.9273,0.0737320936856633,1.0,0.15445,0.27073177996675646,0.2743875,0.25345,0.16124055315621966,0.9762,0.8654,0.07842481567817351,0.9478375,0.92275,0.06920735089314957,0.8995875,0.88525,0.08228977360024915
3,3,100000,20,1,100,1.0,1.0,1.0,0.08196673564070497,0.93945,0.9287,0.08443064427720781,1.0,0.15845,0.2466114066485843,0.2716625,0.2473,0.17002986684916707,0.9753625,0.86095,0.08414201505906842,0.9479125,0.9258,0.08138151597036276,0.9161125,0.9033,0.08037739577321862
4,4,100000,20,1,100,1.0,1.0,1.0,0.07945891162382143,0.9399625,0.9223,0.0773129591427087,1.0,0.15295,0.2474892388216285,0.26655,0.2382,0.15186418695213122,0.975825,0.8621,0.07329870119787983,0.9491875,0.9286,0.07611485602688904,0.9295375,0.9142,0.07906416713792014
