,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Base Model_test,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Naive Bayes_test,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Decision Tree_test,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Random Forest_test,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,Linear SVM_test,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,RBF SVM_test,MLP_train,MLP_valid,MLP_mean_error,MLP_test
0,0,1000,20,20,2,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.975,7.216796729642353,0.93,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,1,1000,20,20,2,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,2,1000,20,20,2,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.2385101888037753,0.99,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,3,1000,20,20,2,1.5,1.0,1.0,0.0,1.0,0.99875,1.0,0.0,1.0,1.0,0.99,3.3317637221917216,0.96,0.9975,0.995,0.8612266417042633,0.99,1.0,1.0,0.0,1.0,0.9975,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,4,1000,20,20,2,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.995,0.8755495194270553,0.99,1.0,1.0,0.9364230131056724,0.99,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,0,5000,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,0.999,0.0,1.0,1.0,0.993,0.0,1.0,1.0,0.999,0.0,1.0,1.0,0.999,0.0,1.0,1.0,0.999,0.0,1.0,1.0,0.999,0.0,1.0
6,1,5000,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.991,0.0,1.0,0.999,0.998,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,2,5000,20,20,5,1.5,1.0,1.0,0.0,1.0,0.999,0.997,0.0,1.0,1.0,0.985,0.9332281025929581,0.99,0.999,0.998,0.0,1.0,1.0,0.998,0.0,1.0,0.999,0.997,0.0,1.0,1.0,0.997,0.0,1.0
8,3,5000,20,20,5,1.5,1.0,1.0,0.0,1.0,0.9985,1.0,0.0,1.0,1.0,0.997,0.0,1.0,0.99975,0.999,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,4,5000,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.997,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,0,10000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.993,0.9596613814623283,0.99,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,1,10000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9975,0.0,1.0,0.999875,0.9995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,2,10000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9975,1.6855102187996696,0.98,0.99725,0.9935,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
13,3,10000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9965,0.0,1.0,0.996875,0.9975,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
14,4,10000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9975,0.0,1.0,0.999625,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
0,0,30000,20,20,30,1.5,1.0,1.0,1.8874513239304087,0.92,0.9843333333333333,0.98,2.3098016620439963,0.9,1.0,0.8631666666666666,3.7661551781707185,0.84,0.7958333333333333,0.7881666666666667,4.260477421754263,0.82,0.9986666666666667,0.997,1.8874513239304087,0.92,0.9922916666666667,0.9881666666666666,2.137045943182969,0.91,0.991,0.971,2.1109369911582267,0.91
1,1,30000,20,20,30,1.5,1.0,1.0,3.979845639735329,0.83,0.9850416666666667,0.9761666666666666,3.95443813807496,0.83,1.0,0.8748333333333334,7.126984230886558,0.75,0.7977083333333334,0.7886666666666666,6.729078606253123,0.75,0.9984166666666666,0.996,3.75521424719047,0.84,0.9926666666666667,0.9873333333333333,3.75521424719047,0.84,0.999375,0.9786666666666667,4.006739001282252,0.83
2,2,30000,20,20,30,1.5,1.0,1.0,3.165016905390238,0.86,0.98575,0.9801666666666666,3.465078817539337,0.85,1.0,0.8648333333333333,4.17140678536705,0.82,0.78925,0.7878333333333334,5.150342769055452,0.8,0.9987083333333333,0.9961666666666666,2.922034231066234,0.87,0.9938333333333333,0.9915,3.165016905390238,0.86,0.998375,0.972,2.799926716391435,0.88
3,3,30000,20,20,30,1.5,1.0,1.0,2.7492724490569573,0.88,0.986375,0.9745,2.22294132672621,0.9,1.0,0.8623333333333333,5.66282134450219,0.76,0.798125,0.7941666666666667,3.9657190026192324,0.83,0.999,0.997,2.3135685804153017,0.9,0.9942916666666667,0.9898333333333333,2.757649124645443,0.88,0.9987916666666666,0.974,2.8502865951354988,0.88
4,4,30000,20,20,30,1.5,1.0,1.0,3.67831378787038,0.84,0.9859583333333334,0.9776666666666667,3.269152498198267,0.86,1.0,0.8595,4.13268863589071,0.82,0.8072083333333333,0.8081666666666667,5.58680181466661,0.8,0.9985416666666667,0.9955,3.67831378787038,0.84,0.993375,0.989,3.033649055196214,0.87,0.9964166666666666,0.976,2.832897264444461,0.88
21,1,50000,20,20,50,1.5,1.0,1.0,7.000343351072417,0.68,0.968425,0.965,7.877506250838715,0.65,1.0,0.6788,10.138519968145884,0.57,0.5783,0.5645,9.939193290830135,0.56,0.99705,0.9918,6.786613030744938,0.69,0.986575,0.9809,6.245910598336109,0.72,0.985925,0.9459,7.164727233673384,0.68
22,2,50000,20,20,50,1.5,1.0,1.0,7.061550640809548,0.7,0.967675,0.9588,6.842798706380704,0.71,1.0,0.6905,9.696584523338213,0.58,0.58695,0.5718,12.2558991037729,0.46,0.9969,0.9907,7.061550640809548,0.7,0.986,0.9802,6.82465159196243,0.71,0.990825,0.9534,6.55744499035559,0.72
23,3,50000,20,20,50,1.5,1.0,1.0,6.211662715382465,0.74,0.96685,0.9553,6.115775246849396,0.74,1.0,0.6941,9.554424838430608,0.6,0.6058,0.5963,8.543968201951234,0.62,0.996675,0.9907,6.502230114242856,0.73,0.98675,0.9792,6.6773961197775975,0.72,0.98675,0.9453,7.48968651587271,0.72
24,4,50000,20,20,50,1.5,1.0,1.0,7.735641745850123,0.66,0.969525,0.9593,7.504673277901068,0.67,1.0,0.6696,10.296558467906369,0.55,0.57145,0.5507,8.511862955168123,0.63,0.997,0.9897,7.735641745850123,0.66,0.985025,0.9748,7.529874905937907,0.67,0.985925,0.943,7.341538551055745,0.68
25,0,100000,20,20,100,1.5,1.0,1.0,10.413409816938309,0.53,0.9530375,0.9417,10.4617900950722,0.53,1.0,0.49425,12.491788568157745,0.42,0.3715625,0.3637,15.646111622975704,0.3,0.9929875,0.9797,10.409463653920671,0.53,0.9761625,0.96615,10.46147145980296,0.53,0.958925,0.9175,9.311357492717482,0.57
26,1,100000,20,20,100,1.5,1.0,1.0,9.441577650278987,0.59,0.9557875,0.9439,9.408615636582631,0.59,1.0,0.4946,13.156913760550507,0.42,0.3690375,0.35555,16.21360400930527,0.3,0.99335,0.98145,9.20600234285365,0.6,0.9771125,0.9661,9.008201652226342,0.61,0.969575,0.92245,10.74970681287654,0.57
27,2,100000,20,20,100,1.5,1.0,1.0,10.971596194170857,0.51,0.9547625,0.94255,10.549678262644766,0.54,1.0,0.4972,14.198696503059171,0.4,0.360375,0.3488,13.749978332504947,0.39,0.9937125,0.9797,11.274328434508465,0.5,0.9772,0.96515,11.094633553529615,0.51,0.9669625,0.9198,9.270433848860637,0.58
28,3,100000,20,20,100,1.5,1.0,1.0,10.013086125505595,0.57,0.9524625,0.93855,9.92842576057263,0.57,1.0,0.50395,15.09999870829165,0.36,0.35345,0.34305,15.22585497260273,0.36,0.9930375,0.9785,9.771614027407809,0.58,0.9780125,0.9649,9.936378180364787,0.57,0.96105,0.91365,10.110772271538469,0.56
