,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Base Model_test,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Naive Bayes_test,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Decision Tree_test,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Random Forest_test,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,Linear SVM_test,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,RBF SVM_test,MLP_train,MLP_valid,MLP_mean_error,MLP_test
0,0,100000,20,20,20,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,1,100000,20,20,20,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9998,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,2,100000,20,20,20,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,3,100000,20,20,20,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,4,100000,20,20,20,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,0,100000,20,20,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9996,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,1,100000,20,20,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9999,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,2,100000,20,20,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99985,0.0,1.0,1.0,0.99995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,3,100000,20,20,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9996,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,4,100000,20,20,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9998,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,0,100000,20,20,20,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99915,0.0,1.0,0.999825,0.9999,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,1,100000,20,20,20,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99955,0.0,1.0,0.999475,0.9996,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,2,100000,20,20,20,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9994,0.0,1.0,0.9997125,0.9997,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
13,3,100000,20,20,20,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9994,0.0,1.0,0.9999,0.99995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
14,4,100000,20,20,20,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99905,0.0,1.0,0.9992625,0.9994,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
15,0,100000,20,20,20,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9978,0.0,1.0,0.9990625,0.9984,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
16,1,100000,20,20,20,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99905,0.0,1.0,0.99865,0.9984,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
