,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Base Model_test,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Naive Bayes_test,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Decision Tree_test,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Random Forest_test,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,Linear SVM_test,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,RBF SVM_test,MLP_train,MLP_valid,MLP_mean_error,MLP_test
0,0,500,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.97,3.553868003627094,0.96,0.9975,0.98,0.9286778787835714,0.99,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,1,500,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.94,3.6006417059985325,0.97,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,2,500,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,0.99,0.0,1.0,1.0,0.94,5.458014616905027,0.95,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,3,500,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.94,5.456120061264471,0.95,0.9975,0.99,0.8967607034634635,0.99,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,4,500,20,20,5,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99,6.573548467278705,0.94,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,0,1000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,1,1000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.98,1.9611844240580931,0.98,1.0,0.995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,2,1000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.985,4.766047487196126,0.96,0.99875,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,3,1000,20,20,10,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.965,1.1050140985422798,0.99,0.99875,0.995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,4,1000,20,20,10,1.5,1.0,1.0,0.0,1.0,0.99875,1.0,0.0,1.0,1.0,0.97,6.796641216149099,0.93,0.9975,1.0,1.0223997981880037,0.99,1.0,1.0,0.0,1.0,0.99875,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,0,5000,20,20,50,1.5,1.0,1.0,6.955918893882789,0.71,0.9625,0.894,7.421093255101226,0.69,1.0,0.656,12.310288453317073,0.63,0.5925,0.519,9.972331611526151,0.6,1.0,0.952,6.703488548579479,0.72,0.94075,0.889,6.382658422734656,0.73,0.99925,0.936,6.580628656479274,0.73
11,1,5000,20,20,50,1.5,1.0,1.0,7.722514835921679,0.7,0.9645,0.908,9.256171338035227,0.64,1.0,0.636,10.64933676579643,0.67,0.60225,0.533,12.61330252085974,0.54,0.99925,0.95,8.185786826828707,0.68,0.935,0.896,7.904766075252702,0.69,0.998,0.922,8.97030436073049,0.65
12,2,5000,20,20,50,1.5,1.0,1.0,9.156191070194538,0.65,0.96875,0.898,9.2632053972519,0.65,1.0,0.651,11.534556064059123,0.6,0.61575,0.542,12.035358636791766,0.52,0.9995,0.949,8.926935370488847,0.66,0.93475,0.896,9.568469196225076,0.64,0.99325,0.926,9.843763100100611,0.62
13,3,5000,20,20,50,1.5,1.0,1.0,6.473036826870224,0.75,0.96275,0.92,8.595296379304214,0.66,1.0,0.657,12.17367319569682,0.52,0.575,0.506,14.05375035690545,0.44,0.9995,0.96,7.059827807949415,0.73,0.93375,0.896,9.230453564427323,0.64,0.9945,0.923,7.873484142999305,0.69
14,4,5000,20,20,50,1.5,1.0,1.0,7.608632968805213,0.7,0.96975,0.921,8.380377610414024,0.67,1.0,0.654,10.575278115096062,0.61,0.61325,0.542,12.154332075094132,0.53,0.99925,0.949,7.493605190959945,0.7,0.95825,0.929,7.310968429947702,0.71,0.99875,0.942,7.432078480647139,0.7
