,seed,n_samples,n_features,n_clusters,k,Base Model_train,Base Model_valid,Base Model_mean_error,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,MLP_train,MLP_valid,MLP_mean_error
0,0,100,20,20,10,1.0,1.0,0.0,1.0,0.98,2.2976665294678162,1.0,0.87,14.459308678798005,1.0,0.95,5.497027396673088,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,1,100,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.82,21.0410238808809,1.0,0.92,8.241337995881981,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,2,100,20,20,10,1.0,0.99,0.7844783796478013,1.0,1.0,0.0,1.0,0.9,12.78641087250813,1.0,0.96,4.561915255226333,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,3,100,20,20,10,1.0,0.96,1.8048236642361315,0.9875,0.84,12.957028791222085,1.0,0.75,24.847321747410888,1.0,0.87,9.507649724532259,1.0,0.94,2.707235496354197,1.0,0.94,2.707235496354197,1.0,0.94,2.707235496354197
4,0,100,20,20,10,1.0,1.0,0.0,1.0,0.98,2.2976665294678162,1.0,0.87,14.459308678798005,1.0,0.95,5.497027396673088,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
5,1,100,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.82,21.0410238808809,1.0,0.92,8.241337995881981,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
6,2,100,20,20,10,1.0,0.99,0.7844783796478013,1.0,1.0,0.0,1.0,0.9,12.78641087250813,1.0,0.96,4.561915255226333,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
7,3,100,20,20,10,1.0,0.96,1.8048236642361315,0.9875,0.84,12.957028791222085,1.0,0.75,24.847321747410888,1.0,0.87,9.507649724532259,1.0,0.94,2.707235496354197,1.0,0.94,2.707235496354197,1.0,0.94,2.707235496354197
8,4,100,20,20,10,1.0,0.94,1.7662169794814284,1.0,0.96,1.1774779863209524,1.0,0.85,15.353171176093564,1.0,0.91,6.786489249509335,1.0,1.0,0.0,0.9875,0.98,0.5887389931604762,1.0,0.96,1.1774779863209524
9,0,1000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
10,1,1000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.98,2.4003749435168986,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
11,2,1000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.94,6.58134062851009,0.99875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
12,3,1000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.94,6.7672946304071955,0.9975,0.99,0.8428458080086705,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
13,4,1000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.95,5.211867359639605,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
14,0,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
15,1,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.999625,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
16,2,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.995125,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
17,3,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.99,1.205608761989256,0.999875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
18,4,10000,20,20,10,1.0,1.0,0.0,0.999875,1.0,0.0,1.0,1.0,0.0,0.998625,0.99,0.7680269013627623,1.0,1.0,0.0,0.999875,1.0,0.0,1.0,1.0,0.0
19,0,100000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9999,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
20,1,100000,20,20,10,1.0,1.0,0.0,0.9999875,1.0,0.0,1.0,1.0,0.0,0.9996,1.0,0.0,1.0,1.0,0.0,0.9999875,1.0,0.0,1.0,1.0,0.0
21,2,100000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.99965,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
22,3,100000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9998875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
23,4,100000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9998125,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
