,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Base Model_test,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Naive Bayes_test,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Decision Tree_test,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Random Forest_test,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,Linear SVM_test,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,RBF SVM_test,MLP_train,MLP_valid,MLP_mean_error,MLP_test
0,0,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.999,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,1,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,2,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,3,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.999,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,4,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
0,0,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.999,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,1,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2,2,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,3,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9995,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,4,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
0,0,30000,20,20,30,0.5,1.0,1.0,1.0873483210537815,0.85,0.983625,0.979,1.0225991235830292,0.86,1.0,0.8605,1.0776031582416628,0.86,0.7819583333333333,0.7766666666666666,1.5586361381305138,0.8,0.9963333333333333,0.9938333333333333,0.9606158462172226,0.87,0.9669583333333334,0.9606666666666667,0.9011318465406748,0.88,0.9692916666666667,0.9608333333333333,1.0913741773098526,0.85
1,1,30000,20,20,30,0.5,1.0,1.0,1.192599294185384,0.84,0.984,0.9781666666666666,1.192599294185384,0.84,1.0,0.874,2.5555921127680055,0.8,0.769125,0.768,1.9713038173290465,0.73,0.9962083333333334,0.9946666666666667,1.192599294185384,0.84,0.9693333333333334,0.9655,1.2408022036971333,0.83,0.9582916666666667,0.9525,1.2583954866379512,0.83
2,2,30000,20,20,30,0.5,1.0,1.0,0.7480516837703943,0.9,0.9840416666666667,0.9776666666666667,0.6517762833410291,0.91,1.0,0.8661666666666666,1.155816027075844,0.84,0.774625,0.7661666666666667,1.7878123907861303,0.76,0.9964166666666666,0.995,0.6618169422045271,0.91,0.9769583333333334,0.9715,0.8082009928958663,0.89,0.9702916666666667,0.9646666666666667,0.7480516837703943,0.9
3,3,30000,20,20,30,0.5,1.0,1.0,1.6060798948277648,0.79,0.98375,0.9775,1.6939683103059564,0.78,1.0,0.878,1.8931852221263425,0.75,0.79175,0.7913333333333333,2.1298733426828416,0.73,0.996375,0.9935,1.6060798948277648,0.79,0.9812916666666667,0.977,1.7645526167733592,0.77,0.9620833333333333,0.9548333333333333,2.0065239797873438,0.74
4,4,30000,20,20,30,0.5,1.0,1.0,1.4941035993522342,0.81,0.98575,0.9816666666666667,1.4195847319100467,0.82,1.0,0.8831666666666667,1.4549800341271846,0.81,0.766625,0.7688333333333334,7.486444911898556,0.78,0.996125,0.9931666666666666,1.4941035993522342,0.81,0.96975,0.9653333333333334,1.238333635848567,0.84,0.9746666666666667,0.968,1.3280974373407737,0.83
0,0,50000,20,20,50,0.5,1.0,1.0,2.28089130730599,0.71,0.968525,0.9598,2.4128072027420924,0.69,1.0,0.691,3.0387828858382657,0.59,0.54905,0.5387,4.013928949111405,0.48,0.991775,0.9855,2.412773099116852,0.69,0.9726,0.9643,2.3165481529085583,0.7,0.913775,0.8982,2.3110353412610034,0.7
1,1,50000,20,20,50,0.5,1.0,1.0,2.7728168165191285,0.64,0.965675,0.9512,2.890019191572818,0.62,1.0,0.6695,3.2817644608546304,0.58,0.5536,0.5278,3.7399055547448383,0.51,0.991975,0.9851,2.910549923815135,0.62,0.96825,0.9583,2.9797307432674724,0.61,0.921875,0.8936,3.225967565158308,0.58
2,2,50000,20,20,50,0.5,1.0,1.0,2.307511815421181,0.7,0.969025,0.9573,2.336116791869873,0.7,1.0,0.6915,3.476361666693963,0.54,0.5507,0.5416,4.4219260615395575,0.42,0.992275,0.9872,2.377851946480842,0.69,0.9744,0.9714,2.223616278164722,0.71,0.954125,0.9287,2.5614462730145386,0.67
3,3,50000,20,20,50,0.5,1.0,1.0,2.2399726346402273,0.69,0.96595,0.9528,2.116399136806776,0.71,1.0,0.6785,3.0159299508617607,0.6,0.547075,0.5168,3.5028621628083734,0.55,0.9918,0.9864,2.4250270291518614,0.67,0.97255,0.9661,2.2664570044685384,0.69,0.920775,0.9081,2.744459318777433,0.62
4,4,50000,20,20,50,0.5,1.0,1.0,2.543767313611276,0.65,0.9665,0.9589,2.6093528099287964,0.64,1.0,0.6973,3.0140412264870076,0.6,0.54305,0.5233,4.154856300305492,0.44,0.9923,0.9871,2.47082873699001,0.66,0.97285,0.9701,2.507381756773641,0.66,0.937625,0.9213,2.813858875412302,0.62
0,0,100000,20,20,100,0.5,1.0,1.0,3.1492112967011976,0.57,0.9520375,0.9382,3.022943790219705,0.59,1.0,0.5001,4.4382638951683475,0.42,0.3615875,0.34935,5.144725803443861,0.32,0.9853625,0.9723,3.2194431273782107,0.56,0.9640875,0.9554,3.1710954752577822,0.57,0.9351875,0.89505,3.4750268178492116,0.53
1,1,100000,20,20,100,0.5,1.0,1.0,2.669976429788048,0.63,0.9525,0.9428,2.8805245845964644,0.61,1.0,0.49905,4.396514009532687,0.39,0.3265625,0.31425,5.050683635296095,0.33,0.98505,0.97095,2.7266996857845327,0.62,0.966375,0.9614,2.7561381615835696,0.62,0.9272625,0.89185,2.8467857536936845,0.61
2,2,100000,20,20,100,0.5,1.0,1.0,3.367085416793939,0.56,0.9534625,0.9424,3.4218069059701133,0.55,1.0,0.48805,4.045694666135234,0.47,0.3423875,0.3255,5.279940869992962,0.29,0.984375,0.97205,3.409855965373605,0.55,0.966175,0.96025,3.339676820037482,0.56,0.934575,0.898,3.385840925918934,0.56
3,3,100000,20,20,100,0.5,1.0,1.0,2.7297219420979126,0.62,0.9520125,0.9412,2.666170303976411,0.63,1.0,0.496,4.686082915826847,0.37,0.3219625,0.30955,5.9001513397530845,0.22,0.9846625,0.971,2.7243419366948523,0.62,0.968525,0.96175,2.5801906158247516,0.64,0.928175,0.89285,2.658581657867092,0.63
4,4,100000,20,20,100,0.5,1.0,1.0,3.143565262127825,0.56,0.9556125,0.94535,3.5532855642977217,0.51,1.0,0.4856,4.77351628906058,0.34,0.3427,0.32835,5.615814626138387,0.25,0.9846375,0.9733,3.3837599150555,0.53,0.9687125,0.96225,3.4716829388778674,0.52,0.9474875,0.89985,3.5418351901380403,0.5
