,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Base Model_test,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Naive Bayes_test,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Decision Tree_test,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Random Forest_test,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,Linear SVM_test,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,RBF SVM_test,MLP_train,MLP_valid,MLP_mean_error,MLP_test
0,0,5000,20,1,5,1.0,1.0,1.0,5.73307353222482,0.61,0.95025,0.937,6.1038356009935795,0.59,1.0,0.503,8.523747646068266,0.41,0.6875,0.567,6.762685416524029,0.53,0.99225,0.976,5.873592259947567,0.6,0.972,0.964,5.307161018234024,0.64,0.96025,0.908,5.582683764680597,0.62
1,1,5000,20,1,5,1.0,1.0,1.0,5.689545076203646,0.6,0.953,0.95,5.89409345988002,0.58,1.0,0.5,8.742678361726043,0.4,0.638,0.542,8.931108399804556,0.4,0.99,0.974,5.29495365504993,0.63,0.9775,0.974,5.807597273210136,0.59,0.9835,0.916,5.77870226784043,0.59
2,2,5000,20,1,5,1.0,1.0,1.0,6.4836799002467504,0.57,0.95975,0.953,6.805563463669737,0.55,1.0,0.487,10.268277099205143,0.32,0.63925,0.553,10.504558916312751,0.31,0.98875,0.978,6.653061665244827,0.56,0.97375,0.974,6.810093788918786,0.55,0.97225,0.939,6.735286950733605,0.55
3,3,5000,20,1,5,1.0,1.0,1.0,7.1810969213490035,0.49,0.949,0.947,6.342715340432453,0.54,1.0,0.502,9.114736776401996,0.38,0.69175,0.591,8.361923164234986,0.41,0.99025,0.978,7.199211450367142,0.49,0.97775,0.972,7.234091318850842,0.48,0.9725,0.926,7.014696796702192,0.5
4,4,5000,20,1,5,1.0,1.0,1.0,5.852172271187783,0.58,0.94425,0.927,5.986646568710787,0.57,1.0,0.498,9.510606904054562,0.34,0.629,0.507,8.870919783162535,0.39,0.99175,0.984,6.254883358574167,0.55,0.97675,0.965,6.111419548963455,0.56,0.8675,0.86,6.038284569242267,0.57
5,0,10000,20,1,10,1.0,1.0,1.0,8.474806052297625,0.4,0.94175,0.934,8.52428675350582,0.4,1.0,0.3675,11.0027865481228,0.24,0.54525,0.4625,9.37133275745616,0.34,0.985625,0.954,7.947525470117346,0.44,0.961125,0.945,8.43595967398782,0.41,0.923875,0.8835,8.434895976384501,0.4
6,1,10000,20,1,10,1.0,1.0,1.0,9.947020718358882,0.31,0.9435,0.9405,9.34352434646798,0.35,1.0,0.37,11.293554648197205,0.23,0.542875,0.4735,10.261690716599201,0.29,0.987,0.9535,9.733967041362511,0.32,0.96775,0.9525,9.734182035539291,0.32,0.918875,0.897,9.917920052162765,0.31
7,2,10000,20,1,10,1.0,1.0,1.0,8.97394683034137,0.36,0.939125,0.937,8.734839200102494,0.37,1.0,0.374,11.069673855721554,0.22,0.54225,0.4875,10.723136545209913,0.26,0.982625,0.9615,8.985396784974567,0.36,0.969125,0.964,8.391612165781224,0.4,0.9835,0.9355,8.91405895963914,0.37
8,3,10000,20,1,10,1.0,1.0,1.0,8.414295355120704,0.42,0.93775,0.9175,8.108336025021874,0.44,1.0,0.393,10.70429956276561,0.27,0.571125,0.4895,9.83516329711562,0.32,0.984625,0.9685,8.497892439945112,0.41,0.967375,0.959,8.382558895091549,0.42,0.97875,0.941,8.659514210954045,0.4
9,4,10000,20,1,10,1.0,1.0,1.0,7.42934881364885,0.47,0.947875,0.938,7.683943550919436,0.45,1.0,0.367,11.122009459010211,0.22,0.568625,0.4825,10.988902786005552,0.24,0.98425,0.961,8.248751613876216,0.41,0.970125,0.9585,7.6611954209823026,0.45,0.82575,0.825,8.630655092062677,0.39
